study,year,population,sample_n,indicator,value_pct
Pokhara adolescents (BMJ Open),2024,"Adolescents aged 16-19, Pokhara",450,Cyber-victimisation in lifetime,42.2
Deumai female adolescents (BMJ Open),2022,"Female adolescents grades 11-12, Deumai Municipality, Ilam",501,Experienced cyberbullying,32.5
Nepalgunj students (Academia Research Journal),2024,"Students grades 8-12, Nepalgunj, Banke",50,Been cyberbullied,28
Pokhara adolescents (BMJ Open),2024,"Adolescents aged 16-19, Pokhara",450,Cyber-victimisation in past 30 days,19.8
ChildSafeNet and UNICEF Nepal,2020,"Adolescent girls and young women, Nepal",NA,Experienced online sexual abuse or exploitation,20
ChildSafeNet and UNICEF Nepal,2020,"Adolescent boys and young men, Nepal",NA,Experienced online sexual abuse or exploitation,10
