district,bodies_recovered,note
Chitwan,272,Recovery location as of 31 Aug 2026 (not necessarily home district)
Nawalparasi East,207,Recovery location as of 31 Aug 2026 (not necessarily home district)
Nawalparasi West,151,Recovery location as of 31 Aug 2026 (not necessarily home district)
Nuwakot,95,Recovery location as of 31 Aug 2026 (not necessarily home district)
Gorkha,62,Recovery location as of 31 Aug 2026 (not necessarily home district)
Dhading,55,Recovery location as of 31 Aug 2026 (not necessarily home district)
Tanahun,37,Recovery location as of 31 Aug 2026 (not necessarily home district)
Rasuwa,24,Recovery location as of 31 Aug 2026 (not necessarily home district)
