category,usd_millions,detail,source,date_reported
Damage and loss (government estimate),2700,Government assessment of damage and losses,Islamic Relief citing government,2026-09-25
Reconstruction need (RDNA),4740,NPC + NDRRMA Rapid Damage Needs Assessment; ~10% of GDP,Spotlight Nepal on RDNA,2026-09-18
UN Flash Appeal,49.6,For 84270 people / 19284 households over 4 months,UN/OCHA via IPS,2026-09-04
IFRC emergency appeal,28,CHF 25 million federation-wide appeal (~USD 28m),IFRC,2026-08-27
UNICEF funding need,17.2,US$9.7m available; US$10m gap,UNICEF SitRep 5,2026-09-22
Loss and Damage Fund (pre-flood approval),20,Approved under Barbados Implementation Modalities from pre-flood proposals; NOT a flood payout,Kathmandu Post,2026-09-09
PM Disaster Relief Fund,87,Rs 13.23bn deposited (~USD 87m at ~152 NPR/USD),Gothalo,2026-09-11
