cause,share_percent,scope,source
Driver negligence,89.7,Kathmandu Valley FY 2019/20,"Metropolitan Traffic Police via Journal of Health Promotion (nepjol.info)"
Overspeeding,4.5,Kathmandu Valley FY 2019/20,"Metropolitan Traffic Police via Journal of Health Promotion (nepjol.info)"
Drink driving,4.4,Kathmandu Valley FY 2019/20,"Metropolitan Traffic Police via Journal of Health Promotion (nepjol.info)"
Other,1.5,Kathmandu Valley FY 2019/20,"Metropolitan Traffic Police via Journal of Health Promotion (nepjol.info)"
