location,time_npt,event
Upper Lhende Khola (origin),08:40,Ice-rock avalanche: ~2 sq km of rock wall and glacier ice collapses from Langtang Lirung
Bhote Koshi-Syafrubesi gauge,08:50,Monitoring station stops transmitting (last level 1.62 m)
DHM warning,09:15,Department of Hydrology and Meteorology confirms major flood wave and warns downstream
Galchhi,10:28,Flood wave arrives
Malekhu,11:50,Flood wave arrives
Mugling,13:00,Flood wave arrives
Devghat,15:20,Flood wave arrives; peak ~5,850 cubic m/s at 16:00
