fiscal_year,registered_vehicles,two_wheelers,source,notes
1994/95,159272,,Department of Transport Management via media/Economic Surveys,
2014/15,1995404,1567589,Department of Transport Management via media/Economic Surveys,Two-wheelers were 78.6% of registrations
2021,3987267,3160623,WHO Global Status Report on Road Safety 2023 Nepal country profile,Calendar year
2022,5032666,,Department of Transport Management via media/Economic Surveys,Calendar year
2024/25,5800000,4700000,Department of Transport Management via media/Economic Surveys,Approximate; about 4.7 million motorcycles
2026,6249732,,National Transport Policy 2083 via MeroAuto Aug 2026,"Mid-March 2026; Economic Survey 2082/83 reports about 6.24 million"
