indicator,value_pct,population,year,source
Victim of online bullying,33.3,"Young people, 30 countries",2019,UNICEF U-Report poll
Skipped school because of cyberbullying or violence,20,"Young people, 30 countries",2019,UNICEF U-Report poll
Bullied by other children online,48,"Children, Indonesia",2023,UNICEF Indonesia baseline study
Experienced tech-facilitated sexual exploitation or abuse in one year,6.25,"Internet-using children aged 12-17, Pakistan",2026,"UNICEF Innocenti, ECPAT International, INTERPOL"
