kind,category,deaths,period,source
country,Malaysia,394,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
country,Saudi Arabia,335,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
country,UAE,311,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
country,Qatar,252,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
cause,Illness,329,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
cause,Heart attack,224,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
cause,Suicide,191,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
cause,Road accident,176,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
cause,Other recorded causes,624,"FY 2081/82 (2024/25)","Foreign Employment Board Annual Progress Report FY 2081/82, via People's Review"
