entity,deaths_per_100k,type,source
Nepal,28.2,country,WHO Global Status Report on Road Safety 2023
Bangladesh,18.6,country,WHO Global Status Report on Road Safety 2023
India,15.4,country,WHO Global Status Report on Road Safety 2023
South Asia,16.1,region,Asian Transport Observatory 2025
Asia-Pacific,15.2,region,Asian Transport Observatory 2025
Global,15,global,WHO Global Status Report on Road Safety 2023
Bhutan,12.2,country,WHO Global Status Report on Road Safety 2023
Pakistan,11.9,country,WHO Global Status Report on Road Safety 2023
Sri Lanka,11.5,country,WHO Global Status Report on Road Safety 2023
