road_user,share_percent,source
Four-wheel vehicle occupants,35,WHO Global Status Report on Road Safety 2023 Nepal country profile (2021 reported deaths)
Powered two- and three-wheelers,34,WHO Global Status Report on Road Safety 2023 Nepal country profile (2021 reported deaths)
Pedestrians,23,WHO Global Status Report on Road Safety 2023 Nepal country profile (2021 reported deaths)
Cyclists,4,WHO Global Status Report on Road Safety 2023 Nepal country profile (2021 reported deaths)
Other and unknown,5,WHO Global Status Report on Road Safety 2023 Nepal country profile (2021 reported deaths)
